freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
2.1673750E+006	-1.6570023E+001	4.6862198E+001
1.4662634E+006	-4.9877954E+000	3.9067635E+001
7.0000185E+006	1.1360550E+001	-1.0000999E+002
4.7356185E+006	2.7641626E+002	-2.4452579E+002
3.2037188E+006	1.3093198E+002	5.7281677E+002
2.1673750E+006	4.9896616E+002	7.3264355E+002
1.4662634E+006	3.9237881E+002	1.7131081E+002
7.0000185E+006	6.4701276E+000	-1.1867750E+002
4.7356185E+006	6.1588360E+001	2.6099130E+002
3.2037188E+006	4.9795766E+000	3.7591830E+002
2.1673750E+006	1.9315990E+002	2.2061172E+002
1.4662634E+006	2.3002724E+002	1.0530347E+002
9.9195556E+005	3.2227093E+001	-2.8871710E+001
7.0000185E+006	1.2811765E+001	-1.0219781E+002
4.7356185E+006	-3.3332034E+002	3.5387616E+002
3.2037188E+006	1.7894847E+002	5.9923914E+002
2.1673750E+006	2.2308778E+002	4.4047650E+002
7.0000185E+006	-3.7643909E+001	-1.0884516E+002
4.7356185E+006	7.5418992E+000	8.5378227E+001
7.0000185E+006	1.9775291E+001	-7.9766373E+001
4.7356185E+006	1.2128458E+003	-1.1108175E+003
3.2037188E+006	3.4210243E+001	8.0198749E+002
2.1673750E+006	4.4278967E+002	7.1625397E+002
1.4662634E+006	3.6389822E+002	1.9822597E+002
7.0000185E+006	2.7603416E+001	-3.9274540E+001
4.7356185E+006	-4.4270672E+001	-4.2104027E+001
3.2037188E+006	-5.3219742E+001	2.9085424E+001
2.1673750E+006	-2.2004805E+001	3.8442463E+001
1.4662634E+006	-3.4247079E+000	2.4724604E+001
7.0000185E+006	-3.3891516E+000	-1.1235612E+002
4.7356185E+006	2.9306674E+002	2.0578937E+002
3.2037188E+006	1.5990408E+002	6.7376666E+002
2.1673750E+006	5.6217090E+002	7.1658881E+002
1.4662634E+006	5.3798413E+002	3.1771225E+002
7.0000185E+006	-4.2763962E+001	-8.0043816E+001
4.7356185E+006	-3.3302792E+002	5.0268024E+002
3.2037188E+006	-7.7739273E+001	6.4778625E+002
2.1673750E+006	3.4135223E+002	5.1332648E+002
1.4662634E+006	3.9757538E+002	1.9177707E+002
7.0000185E+006	1.2869952E+002	-1.4795477E+002
4.7356185E+006	3.8453836E+002	3.7386166E+002
3.2037188E+006	-1.6848943E+002	6.7032666E+002
2.1673750E+006	2.2747314E+002	8.7397955E+002
7.0000185E+006	4.2410503E+001	-8.3278015E+001
4.7356185E+006	1.2533270E+002	2.4426250E+001
7.0000185E+006	3.5165913E+001	-3.3413784E+001
4.7356185E+006	-4.6870033E+001	-3.6314346E+001
3.2037188E+006	-5.4933277E+001	3.0843019E+001
2.1673750E+006	-1.7827229E+001	4.8081829E+001
1.4662634E+006	-3.9745357E+000	3.9079498E+001
7.0000185E+006	7.2883606E+001	-1.4170219E+002
4.7356185E+006	9.2200150E+001	-9.2371597E+001
3.2037188E+006	4.1331644E+002	3.9518561E+002
2.1673750E+006	1.2987212E+002	4.5377454E+002
1.4662634E+006	3.3614240E+002	1.7406439E+002
7.0000185E+006	1.0683791E+002	-6.8628571E+001
4.7356185E+006	4.6529984E+002	-9.7635551E+001
3.2037188E+006	1.8850537E+002	4.9933826E+002
2.1673750E+006	1.8937828E+002	4.1296329E+002
1.4662634E+006	1.8040375E+002	8.8867798E+001
7.0000185E+006	3.1749695E+002	1.5341150E+002
4.7356185E+006	3.1154086E+002	-7.9128105E+001
3.2037188E+006	3.2876587E+002	6.1733044E+002
2.1673750E+006	3.5533093E+002	3.2549655E+002
1.4662634E+006	1.3706685E+002	4.7810574E+001
7.0000185E+006	-6.5301104E+000	-6.9611267E+001
4.7356185E+006	2.6726196E+002	1.1206307E+002
3.2037188E+006	1.8789240E+001	1.3747806E+002
2.1673750E+006	-1.6160676E-002	4.2135567E+001
7.0000185E+006	8.3928490E+001	-5.3660587E+001
4.7356185E+006	2.2958109E+002	-2.2398489E+002
3.2037188E+006	6.2678101E+002	8.8447382E+002
2.1673750E+006	4.6242017E+002	6.0141180E+002
1.4662634E+006	3.5820395E+002	1.3237485E+002
7.0000185E+006	8.7457027E+000	-1.2886722E+002
4.7356185E+006	2.7367603E+002	2.2920615E+002
3.2037188E+006	3.3105625E+001	6.9828485E+002
2.1673750E+006	3.1228644E+002	5.6812048E+002
7.0000185E+006	1.0403430E+002	1.1253323E+002
4.7356185E+006	-1.3361891E+002	1.6559703E+002
3.2037188E+006	2.2308107E+002	4.3960028E+002
2.1673750E+006	2.3661417E+002	3.4774084E+002
1.4662634E+006	1.1485604E+002	5.3288773E+001
7.0000185E+006	1.7089310E+001	-4.0964958E+001
4.7356185E+006	-5.6233860E+001	-5.7629261E+001
3.2037188E+006	-5.3757652E+001	3.2317341E+001
2.1673750E+006	-1.7753294E+001	5.0558674E+001
1.4662634E+006	-2.3625510E+000	4.1376591E+001
7.0000185E+006	-5.9853516E+000	-1.0301990E+002
4.7356185E+006	9.0373367E+001	-1.8116679E+002
3.2037188E+006	8.0915082E+002	3.3884344E+002
2.1673750E+006	2.6575943E+002	2.9328027E+002
1.4662634E+006	3.0876376E+002	7.4284897E+001
9.9195556E+005	2.5908194E+001	-3.0254885E+001
7.0000185E+006	1.7451967E+002	5.0048500E+001
4.7356185E+006	-4.2237097E+002	4.0860413E+002
3.2037188E+006	3.6680118E+002	9.2476239E+002
2.1673750E+006	5.9829193E+002	4.2660013E+002
1.4662634E+006	3.1388907E+002	8.8658554E+001
7.0000185E+006	4.4467381E+001	-5.4913715E+001
4.7356185E+006	-4.8810539E+001	-3.4368771E+001
3.2037188E+006	-5.1733528E+001	2.6827723E+001
2.1673750E+006	-1.8795147E+001	4.3326366E+001
1.4662634E+006	-9.4630795E+000	3.4183559E+001
7.0000185E+006	-8.1835297E+001	-6.2398697E+001
4.7356185E+006	-2.4689294E+002	2.9950009E+002
3.2037188E+006	3.2607047E+002	6.9096674E+002
2.1673750E+006	5.4168463E+002	6.3144769E+002
1.4662634E+006	6.1436456E+002	3.5076364E+002
7.0000185E+006	1.7313177E+002	5.8532879E+001
4.7356185E+006	7.0640356E+002	8.8973930E+001
3.2037188E+006	2.9680500E+000	5.4315668E+002
2.1673750E+006	4.6146194E+002	4.5980704E+002
1.4662634E+006	5.2753735E+002	2.0935658E+002
7.0000185E+006	5.4232239E+001	-1.0294851E+002
4.7356185E+006	-2.4942137E+002	1.0579205E+002
3.2037188E+006	-4.1436497E+001	4.9346399E+002
2.1673750E+006	1.5112802E+002	3.1984866E+002
1.4662634E+006	1.5912686E+002	6.6344826E+001
7.0000185E+006	4.4428238E+001	6.4346153E+001
4.7356185E+006	-2.7676298E+001	-4.3960815E+002
3.2037188E+006	4.5580551E+002	8.2340143E+002
2.1673750E+006	2.6371567E+002	6.3629156E+002
7.0000185E+006	2.6934494E+001	-4.1728939E+001
4.7356185E+006	-5.0236603E+001	-3.6918598E+001
3.2037188E+006	-5.6701168E+001	2.9344419E+001
2.1673750E+006	-1.4729690E+001	4.9593647E+001
1.4662634E+006	-3.7239454E+000	3.9884552E+001
7.0000185E+006	-3.9258845E+000	-7.7930389E+001
4.7356185E+006	-5.1736230E+002	-4.9309561E+002
3.2037188E+006	6.8737103E+002	4.5197046E+002
2.1673750E+006	4.5948837E+002	5.7814825E+002
1.4662634E+006	4.7206277E+002	1.4777286E+002
7.0000185E+006	1.7348804E+001	-6.1104912E+001
4.7356185E+006	2.6138202E+002	-3.5340564E+002
3.2037188E+006	7.4098999E+001	4.8969437E+002
2.1673750E+006	2.9457434E+002	3.4232584E+002
1.4662634E+006	1.8748143E+002	9.3712830E+001
7.0000185E+006	-2.7763325E+001	-8.0082298E+001
4.7356185E+006	-5.0844247E+002	1.1102631E+002
3.2037188E+006	-1.1305930E+002	4.5333319E+002
2.1673750E+006	9.7006226E+001	3.2274802E+002
1.4662634E+006	1.5978786E+002	5.9446541E+001
7.0000185E+006	1.4481436E+002	-3.3936363E+001
4.7356185E+006	2.6305902E+002	1.1147678E+002
3.2037188E+006	-1.5303841E+002	4.8676288E+002
2.1673750E+006	2.0159933E+002	3.0650519E+002
1.4662634E+006	2.7293999E+000	4.3685310E+001
7.0000185E+006	-1.8642205E+000	-1.2405093E+002
4.7356185E+006	6.0573071E+001	-1.3066144E+002
3.2037188E+006	2.3253943E+002	6.8831982E+002
2.1673750E+006	2.9595712E+002	5.5492566E+002
1.4662634E+006	3.4289563E+002	1.7122121E+002
7.0000185E+006	1.4209363E+001	-1.0362690E+002
4.7356185E+006	1.7452307E+002	4.9598774E+001
3.2037188E+006	1.8437015E+002	7.5882776E+002
2.1673750E+006	5.4172083E+002	6.1286298E+002
7.0000185E+006	3.7645618E+001	-1.1429630E+002
4.7356185E+006	1.3335060E+001	-2.5334027E+002
3.2037188E+006	1.3249974E+002	3.9073419E+002
2.1673750E+006	2.2808003E+002	2.3775633E+002
1.4662634E+006	1.2447406E+002	4.5326305E+001
7.0000185E+006	1.8144136E+001	-3.9067284E+001
4.7356185E+006	-5.4472229E+001	-4.6726173E+001
3.2037188E+006	-4.9794209E+001	3.0344610E+001
2.1673750E+006	-1.6773655E+001	5.0122871E+001
1.4662634E+006	-4.9841962E+000	3.9897179E+001
9.9195556E+005	6.5359812E+000	2.1796423E+001
7.0000185E+006	8.4452469E+001	-1.0566434E+002
4.7356185E+006	1.9517632E+002	2.5066478E+002
3.2037188E+006	1.0528446E+002	7.5477979E+002
2.1673750E+006	3.6999258E+002	5.1577850E+002
1.4662634E+006	4.4062216E+002	2.0537175E+002
7.0000185E+006	-1.8063200E+002	-1.4474385E+002
4.7356185E+006	-3.6185437E+002	1.4270465E+002
3.2037188E+006	-3.7583112E+002	1.0643043E+003
2.1673750E+006	3.9068692E+002	4.5477301E+002
1.4662634E+006	3.5194940E+002	1.6055151E+002
7.0000185E+006	-5.0948042E-001	-1.7207214E+002
4.7356185E+006	-3.2757025E+002	2.9103052E+002
3.2037188E+006	1.1640173E+002	6.2368274E+002
7.0000185E+006	3.1651449E+001	1.7246926E+000
4.7356185E+006	-2.9685242E+002	1.9026341E+002
3.2037188E+006	-2.5278935E+002	7.9989709E+002
2.1673750E+006	4.1511206E+002	5.2988092E+002
7.0000185E+006	1.9337689E+002	9.7297752E-001
4.7356185E+006	-3.5757484E+001	3.8461169E+002
3.2037188E+006	4.9557522E+001	8.5041364E+002
2.1673750E+006	5.4067084E+002	4.5718802E+002
1.4662634E+006	3.7983176E+002	1.5510565E+002
7.0000185E+006	7.4653801E+001	-3.0463577E+001
4.7356185E+006	-1.1827824E+002	2.3572585E+002
3.2037188E+006	2.7002899E+002	3.6720514E+002
2.1673750E+006	1.8763037E+002	3.6088583E+002
1.4662634E+006	1.7043098E+002	7.1551178E+001
7.0000185E+006	5.1687824E+001	-1.2796706E+002
4.7356185E+006	1.8403114E+002	6.6042587E+001
3.2037188E+006	-1.8497662E+002	5.0905862E+002
2.1673750E+006	2.4258511E+002	4.8364682E+002
7.0000185E+006	3.2477974E+001	-3.1183170E+001
4.7356185E+006	-5.3543911E+001	-3.5319374E+001
3.2037188E+006	-5.3937389E+001	3.0669998E+001
2.1673750E+006	-1.7050396E+001	4.9503632E+001
1.4662634E+006	-3.2054224E+000	4.1768482E+001
